id	address	about	review_name	review_stars	review_count	property_amenities	room_features	room_types	good_to_know
430	Lugar Torretejera 87 Castiello de la Marina, 33314 Villaviciosa Spain	In Almarinae, the apartments are single-storied and have large windows to enjoy the view outdoors from indoors. A landscape from every window. Three kinds of self-catering options to let you make your own choice.	Excellent	5.0	23 reviews	Free parking Parking Free High Speed Internet (WiFi) Bar / lounge Board games / puzzles Books, DVDs, music for children	Clothes rack Kitchenette Microwave Refrigerator Kitchenware Flatscreen TV Complimentary toiletries Hair dryer		HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Green Romantic Languages Spoken English, Spanish
431	Karamov Street 4, Dushanbe 734001 Tajikistan	Located in Dushanbe, Safir Hotel provides a garden and terrace. The 4-star hotel has air-conditioned rooms with a private bathroom and free WiFi. Local cuisine is served at the restaurant. Guest rooms at the hotel come with a seating area and a flat-screen TV with satellite channels. Safir Hotel has certain rooms that feature a balcony, and every room is equipped with a electric tea pot. All rooms have a desk. The accommodation offers a continental or buffet breakfast. Safir Hotel can conveniently provide information at the reception to help guests to get around the area. Dushanbe Cable Car is 5.3 km from the hotel. This property is also rated for the best value in Dushanbe! Guests are getting more for their money when compared to other properties in this city.	Very good	4.0	6 reviews	Free parking Free High Speed Internet (WiFi) Sauna Free breakfast Babysitting Children Activities (Kid / Family Friendly) Airport transportation Conference facilities Wifi Bar / lounge Restaurant Banquet room Spa Laundry service	Air conditioning Room service Minibar	Suites Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Mid-range Business
432	Boulevard Agustin Olachea Aviles Colonia Centro, Ciudad Constitucion 23600 Mexico								
433	88A, Hari Vihar, Sector 16, Gurugram (Gurgaon) 110078 India								
434	Monte Grande, Fogo 8020 Cape Verde								
435	18 Place des Terreaux Centre Village, 84380 Mazan France	Hotel Le Siecle is an excellent choice for travelers visiting Mazan, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay. You’ll enjoy relaxing rooms that offer air conditioning, and you can stay connected during your stay as Hotel Le Siecle offers guests free wifi. The hotel features a concierge, baggage storage, and outdoor furniture. For guests with a vehicle, free parking is available. Travelers looking to enjoy some tapas can head to Le Casino. Otherwise, you may want to check out an Italian restaurant such as La Pizzéria de Mazan. Enjoy your stay in Mazan!	Very good	4.0	74 reviews	Free parking Free High Speed Internet (WiFi) Wine / champagne Golf course Water park offsite Pets Allowed ( Dog / Pet Friendly ) Business Center with Internet Access Baggage storage Wifi Concierge Newspaper Non-smoking hotel Outdoor furniture Shared lounge / TV area Sun terrace Express check-in / check-out Laundry service	Air conditioning Safe Bottled water	Non-smoking rooms	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Family Mid-range Languages Spoken English, French, Spanish, Portuguese
436	Montee de l'Ayguade, 83400, Ile du Levant France		Very good	4.0	22 reviews	Free High Speed Internet (WiFi) Wifi Breakfast available Pets Allowed ( Dog / Pet Friendly )	Room service	Family rooms	HOTEL STYLE Budget Quaint Languages Spoken French Property amenities Free High Speed Internet (WiFi) Wifi Breakfast available Pets Allowed ( Dog / Pet Friendly ) Room features Room service Room types Family rooms
437	218-219 304 Road, Wang Nam Khiao 30370 Thailand								
438	Grün 9, 77736 Zell am Harmersbach, Baden-Württemberg Germany	Grüner Hof is a very quirky, family run pension. The decor could be seen as slightly dated, but it just adds to the charm and the traditional feel of the place. The basement has 4 "Kegeln" lanes (similar to bowling) and a bar serving a range of German beers. Outside there's a playground and a beer garden which is excellent in the summer time. There's also a weekly barbecue provided by the owners. The nearby train station offers a regular service to Freiburg which is just over an hour away.	Very good	3.5	35 reviews	Free parking Bar / lounge Restaurant Pets Allowed ( Dog / Pet Friendly )	Room service Telephone Bath / shower	Non-smoking rooms	HOTEL STYLE Budget Family Languages Spoken English, French, Dutch Property amenities Free parking Bar / lounge Restaurant Pets Allowed ( Dog / Pet Friendly ) Room features Room service Telephone Bath / shower Room types Non-smoking rooms
439	Via Agatopisto Cromaziano 30, 44022, Comacchio Italy	The B &amp; B is located on Channel Maggiore in two steps (100 meters) from the Museum of Cultures of Human Delta, the Roman Ship Museum, the Bridge of Sbirri and Palazzo Bellini. Near the Ponte Sisto (also called Bridge of Pitagora, in the heart of the historical center of Comacchio and in the last of its ancient islands remained intact in its original conformation. The building is an old house recently renovated with eco-friendly materials and construction technologies, respecting fully the nature of the typical home Comacchio. We organize guided tours on request to the valleys of Comacchio. Are provided free of charge two bikes for cycling	Excellent	4.5	97 reviews	Free breakfast Pets Allowed ( Dog / Pet Friendly )	Air conditioning Room service	Suites	HOTEL STYLE Centrally Located Family
440	Thannstrasse 18, Hofkirchen im Traunkreis 4492 Austria								
441	16 Lancaster Quay, Cork Ireland	This is vegetarian food at its best, great flavours, beautiful presentation, attentive and knowledgeable staff. There's no choice (except for the desserts), but don't worry, everything tastes great. The restaurant is close to Cork City centre and near the university.	Excellent	4.5	35 reviews	Free High Speed Internet (WiFi) Wifi Restaurant Non-smoking hotel		Non-smoking rooms	HOTEL STYLE Trendy Modern Property amenities Free High Speed Internet (WiFi) Wifi Restaurant Non-smoking hotel Room types Non-smoking rooms
442	Bengri Saptari, 56404 Nepal	Clean and comfortable rooms, Lovely Bar, Indoor and outdoor restaurant with cabin and tree house, Hukka/Shisha, Pool table game, secured parking, Good food and friendly staff but swimming pool is still under construction.	Excellent	5.0	1 review				
443	No.278 Xirong Street, Xi District, West District, Chiayi 600 Taiwan	Do you want to experience the farm life? Do you want to know the local culture? Do you want to get away from the crowded street? Do you want to customize your unique tour package? “Fifth Floor Fun” is located in downtown of Chia-Yi city, it was designed i⋯⋯n MOD(Modernism) style by four young people who love traveling, adore designing, like creating, enjoy making new friends. Come and join us, we can help you to design your unforgettable trip! Can’t wait to see you soon!	Excellent	5.0	13 reviews	Free High Speed Internet (WiFi) Wifi Pets Allowed ( Dog / Pet Friendly )	Air conditioning Refrigerator		HOTEL STYLE Budget Charming
444	Middle Section of Renmin Road, Tongzi County, Zunyi 563200 China	位置不好，周边尽是商业声音，吵的要死，窗户还不隔音。卫生特差，浴巾估计都没消毒，没有用塑料袋密封，马桶不干净，还有铺了块地毯，就建议客人光脚可以踩在地上，实际上地毯特别脏。空间太小，住起来不舒服，一小个桌子，放很多东西……总而言之，各位不要相信网上的评分，我就是被坑嘞！	Poor	2.0	3 reviews	Restaurant Children Activities (Kid / Family Friendly) Laundry service			
445	Ul. Swietojanska 31, Jugow 57-450 Poland	Finding an ideal small hotel in Nowa Ruda does not have to be difficult. Welcome to Bukowa Chata, a nice option for travelers like you. In addition, while staying at Bukowa Chata guests have access to an outdoor fireplace and a picnic area, and you can stay connected with free wifi. You can also enjoy a sauna and a lounge while staying at Bukowa Chata. Nowa Ruda is also home to Monument to the Miner, a popular that is not too far from Bukowa Chata. Bukowa Chata puts the best of Nowa Ruda at your fingertips, making your stay both relaxing and enjoyable.	Very good	3.5	13 reviews	Parking Free High Speed Internet (WiFi) Sauna Free breakfast Game room Hiking Children's television networks Indoor play area for children Wifi Bar / lounge Restaurant Breakfast available Breakfast buffet Kids' meals Special diet menus Wine / champagne Ski school Skiing Evening entertainment Karaoke Walking tours Board games / puzzles Meeting rooms Ski In / Ski Out BBQ facilities Non-smoking hotel Outdoor fireplace Outdoor furniture Picnic area Shared lounge / TV area Sun terrace Express check-in / check-out	Blackout curtains Interconnected rooms available VIP room facilities Wardrobe / closet Clothes rack Private bathrooms Flatscreen TV	Mountain view Landmark view Non-smoking rooms Suites Family rooms	HOTEL STYLE Luxury Quaint Languages Spoken English, Polish, Ukrainian
446	No.166 Huaihai West Road, Huai'an 223001 China					Free parking Free High Speed Internet (WiFi) Wifi Free breakfast Restaurant Children Activities (Kid / Family Friendly)	Room service		
447	No.20 Haijing City, Xiasha Avenue, Jianggan District, Hangzhou China								
448	No.20-1 Dongge Road, Nanning 530022 China	Dongge Hotel is an excellent choice for travelers visiting Nanning, offering many helpful amenities designed to enhance your stay. While staying at Dongge Hotel, visitors can check out Guangxi National Heritage Court (0.3 mi) and Nanning Mosque (1.2 mi), some of Nanning's top attractions. A 24 hour front desk, room service, and baggage storage are some of the conveniences offered at this hotel. In addition, Dongge Hotel offers an on-site restaurant, which will help make your Nanning trip additionally gratifying. If you are driving to Dongge Hotel, parking is available. If you like burritos, Dongge Hotel is conveniently located near Babel, which is known for serving up this local favorite. If you’re looking for things to do, you can check out Nanning Zhongshan Snack Street (1.0 mi), Nanning People's Park (0.7 mi), or Nanhu Lake Park (1.0 mi), which are popular attractions amongst tourists, and they are all within walking distance. Enjoy your stay in Nanning!	Very good	3.5	3 reviews	Parking Wifi Restaurant Baggage storage 24-hour front desk Laundry service	Room service Bath / shower Complimentary toiletries Hair dryer		
449	KrasivsʹKoho 14A, Morshyn 82482 Ukraine								
450	Leninsky District, Drozdovo-2 village, Jablonevaya Street 1, Dzerzhinsky 142717 Russia	See why so many travelers make Hotel Drozdi their small hotel of choice when visiting Dzerzhinsky. Providing an ideal mix of value, comfort and convenience, it offers an array of amenities designed for travelers like you. For those interested in checking out popular landmarks while visiting Dzerzhinsky, Hotel Drozdi is located a short distance from Nikolo-Ugreshskiy Monastery (1.8 mi) and Church of the Savior Transfiguration of Ugresh Monastery of St. Nicholas (1.8 mi). Guest rooms offer amenities such as air conditioning, and guests can go online with free wifi offered by the small hotel. Hotel Drozdi features a 24 hour front desk, room service, and shops, to help make your stay more enjoyable. The property also boasts a sauna. If you are driving to Hotel Drozdi, free parking is available. Travelers looking for cafes can head to Second Floor Cafe. There is no shortage of things to do in the area: explore popular monuments and statues such as Monument to Dmitriy Donskoi, Sculpture Crying Boy, and Monument to Dzerzhinskiy. At Hotel Drozdi, your comfort and satisfaction come first, and they look forward to welcoming you to Dzerzhinsky.	Very good	3.5	3 reviews	Free parking Free High Speed Internet (WiFi) Sauna Vending machine Pets Allowed ( Dog / Pet Friendly ) Salon Convenience store Non-smoking hotel Shops 24-hour front desk Express check-in / check-out Laundry service Ironing service	Air conditioning Housekeeping Room service	Bridal suite Family rooms	
451	Via Castelletti 154, 18018 Arma di Taggia Italy		Excellent	4.5	11 reviews	Children Activities (Kid / Family Friendly)	Kitchenette		HOTEL STYLE Budget Romantic Property amenities Children Activities (Kid / Family Friendly) Room features Kitchenette
452	Judetul Alba nr. 483A, Arieseni 517040 Romania	Providing inner courtyard views, Cabana Bianca in Arieşeni provides accommodation, barbecue facilities and a shared lounge. Offering free private parking, the 2-star homestay is 16 km from Scarisoara Cave.							
453	9221 Lakeshore Dr, Hague, NY 12836-2023	Everyone needs a place to lay their weary head. For travelers visiting Hague, Ruah Bed &amp; Breakfast is an excellent choice for rest and rejuvenation. Well-known for its charming environment and proximity to great restaurants and attractions, Ruah Bed &amp; Breakfast makes it easy to enjoy the best of Hague. Guest rooms offer amenities such as air conditioning, and guests can go online with free wifi offered by the bed and breakfast. Guests arriving by vehicle have access to free parking. For those interested in checking out Rogers Rock (2.9 mi) while visiting Hague, Ruah Bed &amp; Breakfast is a short distance away. While staying at Ruah Bed &amp; Breakfast, you may want to check out Hague Firehouse Restaurant (0.8 mi) which is a short walk away. If you’re looking for things to do, you can check out Hague Town Beach Park (0.8 mi), which is a popular attraction amongst tourists, and it is within walking distance. Ruah Bed &amp; Breakfast is sure to make your visit to Hague one worth remembering.	Very good	4.0	42 reviews	Free parking Free High Speed Internet (WiFi) Wifi Non-smoking hotel	Air conditioning	Non-smoking rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Romantic Luxury
454	Molendijk 20, 4471 BN Wolphaartsdijk The Netherlands								
455	19 Dock Road, 8001 South Africa	Looking for a place to stay in Cape Town? Then look no further than Marina Lodge, a guest house that brings the best of Cape Town to your doorstep. Rooms at Marina Lodge offer a kitchenette, a refrigerator, and air conditioning providing exceptional comfort and convenience. Executive lounge access is one of the conveniences offered at this guest house. While you’re here, be sure to check out Life Grand Cafe V&amp;A Waterfront, one of the restaurants in Cape Town with ribs on the menu, which is a short distance from Marina Lodge. Cape Town is also home to Iziko Maritime Centre, a popular military museum that is not too far from Marina Lodge. We’re sure you’ll enjoy your stay at Marina Lodge as you experience everything Cape Town has to offer.				Executive lounge access Clothes dryer Washing machine	Soundproof rooms Bathrobes Air conditioning Safe Seating area Coffee / tea maker iPod docking station Bath / shower Telephone Iron Laptop safe Wake-up service / alarm clock Kitchenette Dishwasher Microwave Refrigerator Kitchenware Complimentary toiletries Hair dryer		Languages Spoken English, Russian
456	Building 3-1 Fengyang Road, Jian'an Group Company, Longfeng District, Daqing China								
457	Jl. Bali Cliff, Pecatu 80341 Indonesia					Free parking Free High Speed Internet (WiFi) Outdoor pool Children Activities (Kid / Family Friendly) Airport transportation Baggage storage Concierge Laundry service Parking Car hire Shared bathroom First aid kit	Air conditioning Additional bathroom Seating area Separate dining area Separate living room Coffee / tea maker Kitchenette Bath / shower	Family rooms	HOTEL CLASS 3.0 of 5 stars Languages Spoken English, Chinese, Indonesian Property amenities Free parking Free High Speed Internet (WiFi) Outdoor pool Children Activities (Kid / Family Friendly) Airport transportation Baggage storage Concierge Laundry service Parking Car hire Shared bathroom First aid kit Show more Room features Air conditioning Additional bathroom Seating area Separate dining area Separate living room Coffee / tea maker Kitchenette Bath / shower Room types Family rooms
458	1036 Castle Pines Ct, Kissimmee, FL 34747-6420								
459	7270 route du Luc, 83680 La Garde-Freinet France	Ultimate Provence, hôtel 4 étoiles affilié Small Luxury of the World, conçu par Humbert &amp; Poyet, ouvre ses portes en 2019. Niché au cœur de 46 hectares de vignes dans la réserve naturelle de la plaine des Maures, il incarne le Provençal Lifestyle. Les clients peuvent profiter d'activités de plein air, se détendre au bord de la piscine ou à l’espace bien être, savourer une cuisine provençale raffinée et découvrir les vins du domaine lors d’une dégustation œnologique. Ultimate Provence offre une expérience inoubliable où élégance, nature, gastronomie et œnologie se rencontrent.	Very good	4.0	293 reviews	Free parking Free High Speed Internet (WiFi) Fitness Center with Gym / Workout Room Pool Bar / lounge Bicycle rental Hiking Children's television networks Electric vehicle charging station Secured parking Wifi Yoga classes Sauna Pool / beach towels Pool with view Outdoor pool Fence around pool Coffee shop Restaurant Breakfast available Breakfast buffet Breakfast in the room Kids' meals Outdoor dining area Wine / champagne Poolside bar Walking tours Highchairs available Pets Allowed ( Dog / Pet Friendly ) Airport transportation Taxi service Conference facilities Banquet room Meeting rooms Body wrap Couples massage Facial treatments Foot massage Full body massage Hand massage Head massage Manicure Massage Neck massage Salon 24-hour security Non-smoking hotel Outdoor furniture Shops Sun deck Sun loungers / beach chairs Sun terrace Sun umbrellas First aid kit Umbrella 24-hour check-in 24-hour front desk Laundry service	Blackout curtains Air conditioning Desk Interconnected rooms available Private balcony Coffee / tea maker Cable / satellite TV Walk-in shower Safe Separate living room Sofa Telephone Wardrobe / closet Bottled water Clothes rack Iron Private bathrooms Wake-up service / alarm clock Refrigerator Stovetop Electric kettle Kitchenware Flatscreen TV Radio Complimentary toiletries Hair dryer	Mountain view Non-smoking rooms Suites Family rooms	HOTEL STYLE Romantic Charming Languages Spoken English, French, Spanish
460	Lange Str. 78, 44579 Castrop-Rauxel, North Rhine-Westphalia Germany					Bar / lounge Restaurant			
461	Rodovia Mt 010 Km 88, Sao Jose do Rio Claro, State of Mato Grosso 78435-000 Brazil	Amazing,fantastic. Beautiful, family owned and operated eco lodge with spacious, delightfully appointed rooms in small cottages located in a lovely garden surrounded by Amazonian jungle. With delicious food prepared by a Brazilian Masterchef contestant and offering a local guiding service to see stunning wildlife this eco lodge is a hidden gem. The swimming pool is fed by crystal clear spring water and surrounded by jungle. There is a strong commitment to habitat protection, preservation and rehabilitation with projects to restock native fish supplies, revegetate with indigenous plants, rescue and rehabilitate injured wildlife. Poussada da Amazonia provides a truly unique and special experience exploring a fast disappearing habitat or just lazing in a hammock watching the wildlife pass by.	Excellent	4.5	67 reviews	Free parking Pool Free breakfast Bar / lounge Restaurant Children Activities (Kid / Family Friendly)	Housekeeping	Non-smoking rooms Suites	HOTEL STYLE Family Trendy Property amenities Free parking Pool Free breakfast Bar / lounge Restaurant Children Activities (Kid / Family Friendly) Room features Housekeeping Room types Non-smoking rooms Suites
462	67 Utarakit Road Tambon Paknum, Muang, Krabi, Pak Nam, Krabi Town 81000 Thailand	"Grandmom Place" is located on the magnificent Krabi Town. You can easily find us opposite Muang Krabi District Office and the Post Office. Grandmom place is only 30 minutes drive from Krabi International Airport or less than 10 minutes drive from Krabi Bus Terminal, just keep going straight on the main Uttarakit Rd. We offering a peaceful haven in town yet is still within walking distance to the main shopping and entertainment centers, local markets, famous tourist attractions and numerous authentic southern-style restaurants while paying a reasonable price. We provide fully furnished rooms include quality amenities and many conveniences to ensure you enjoy a comfortable home away from home. All rooms include balcony for guests to enjoy the panoramic views of Krabi Town, Krabi River and Khao Ka-nab Num, the symbol of Krabi province. Moreover, you can easily get local bus in front of Grandmom Place to check out around the town or go to Ao-Nang beach and pier to many islands. Here, we strive to make everything in good order and clean, warm welcome you with our friendly staff and will surely make your holiday memorable and unforgettable.	Excellent	4.5	79 reviews	Free High Speed Internet (WiFi) Wifi Non-smoking hotel	Air conditioning Refrigerator Flatscreen TV	Non-smoking rooms	HOTEL CLASS 1.0 of 5 stars HOTEL STYLE Family Business
463	Yeka Subcity Woreda 09, House Number 49/1, Addis Ababa Ethiopia	Orange Lion Guest House is an Ethiopian-Dutch Guest House. All the profit that Orange Lion Guest House makes goes to projects that improve the position of children with disability in Ethiopia. This is in collaboration with the Dutch foundation Respo International and the Addis-based NGO Dires House of Sport.	Excellent	4.5	27 reviews	Free parking Free High Speed Internet (WiFi) Free breakfast Children Activities (Kid / Family Friendly) Airport transportation Non-smoking hotel Clothes dryer Laundry service Wifi Restaurant	Room service Seating area Wake-up service / alarm clock Refrigerator Bath / shower Complimentary toiletries	Non-smoking rooms Suites Family rooms	HOTEL STYLE Romantic Charming Languages Spoken English, Spanish
464	1041-2 Tsuchidaru, Yuzawa-machi, Minamiuonuma-gun 949-6103 Niigata Prefecture								
465	43 rue de Treflez, 29160 Morgat, Crozon France	Everyone needs a place to lay their weary head. For travelers visiting Morgat, Hotel Julia is an excellent choice for rest and rejuvenation. Well-known for its proximity to great restaurants, Hotel Julia makes it easy to enjoy the best of Morgat. The hotel features outdoor furniture and newspaper, and you can stay connected during your stay as Hotel Julia offers guests free wifi. Plus, Hotel Julia offers a lounge, providing a pleasant respite from your busy day. For guests with a vehicle, free parking is available. Travelers looking for diners can head to Atao Aman. Whether you’re traveling for business, pleasure or both, Hotel Julia is sure to make your visit to Morgat one worth remembering.	Average	3.0	54 reviews	Free parking Free High Speed Internet (WiFi) Bar / lounge Canoeing Hiking Meeting rooms Newspaper Non-smoking hotel Breakfast in the room Snorkeling Windsurfing Outdoor furniture Shared lounge / TV area Dry cleaning Laundry service Ironing service	Housekeeping	Family rooms	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Business Family Languages Spoken English, French, Italian
466	Phum Chongkaosou, Siem Reap 17000 Cambodia					Free parking Free High Speed Internet (WiFi) Pool Free breakfast Bicycle tours Free airport transportation Business Center with Internet Access Spa Wifi Outdoor pool Bar / lounge Restaurant Breakfast available Breakfast buffet Breakfast in the room Complimentary welcome drink Wine / champagne Free shuttle or taxi services Airport transportation Shuttle bus service Car hire Taxi service Couples massage Foot massage Full body massage Hand massage Head massage Massage Neck massage 24-hour security Baggage storage Concierge Non-smoking hotel Sun deck Sun umbrellas Umbrella 24-hour check-in 24-hour front desk Express check-in / check-out Laundry service Ironing service	Bathrobes Air conditioning Desk Housekeeping Private balcony Coffee / tea maker Cable / satellite TV Bidet Room service Safe Seating area Sofa Wardrobe / closet Bottled water Private bathrooms Wake-up service / alarm clock Kitchenette Microwave Minibar Electric kettle Flatscreen TV Walk-in shower Bath / shower Complimentary toiletries Hair dryer	Landmark view Pool view Non-smoking rooms Suites Family rooms	HOTEL CLASS 3.5 of 5 stars HOTEL STYLE Great View Languages Spoken English, Khmer
467	Opp: B.S.T, Hindupur India	This hotel is the best hotel in HIndupur in my opinion.The hotel provides facilities like 24 hours security,free Wi-fi,Daily house keeping,Air condtion.The hotel was nest and clean when I visited there.Room service of the hotel was also very fast.	Very good	3.5	2 reviews				HOTEL STYLE Quaint
468	Seray El Gezirah St, Gezirah, Cairo 11511 Egypt					Bar / lounge Restaurant	Air conditioning		HOTEL CLASS 3.0 of 5 stars Property amenities Bar / lounge Restaurant Room features Air conditioning
469	Cumhuriyet Mahallesi 1267 Sokak No 15 Act Homes No 15, Ordu 52200 Türkiye								
470	16, Kapad Bazar Lane, Opp. Paradise Cinema, Mahim West, Mumbai 400016 India								
471	Via San Giovanni snc, 63074, San Benedetto Del Tronto Italy	Restaurant for truck drivers, I would say only for truck drivers or workers, I say this with the utmost respect, and it is just what I was looking for, a restaurant with few pretensions, to which require so much substance and little appearance. Menu with a wide choice (also for the dishes of the day). Very satisfied with regard to the first courses (good, abundant and well seasoned tagliatelle), good side dish little, satisfied with the loin, (overcooked and very hard), I reserve the right to try the mixed fried soon. Impeccable service, courteous and present. Recommendation	Average	2.5	7 reviews	Free parking Free High Speed Internet (WiFi) Wifi Free breakfast Bar / lounge Restaurant			
472	2-4 Hyde Park Gate, London SW7 5EW England	Set back from London's Kensington Road and facing the southern end of Kensington Gardens, Cheval Hyde Park Gate offers 18 grand apartments available to book for stays of three or more months. The building is less than a minute's walk from the green spaces of London's Hyde Park, and only a few minutes from the Royal Albert Hall. Cheval Hyde Park Gate is part of the Cheval Collection.	Excellent	5.0	2 reviews	Free High Speed Internet (WiFi) Wifi Fitness Center with Gym / Workout Room Pets Allowed ( Dog / Pet Friendly ) Concierge Non-smoking hotel Dry cleaning Laundry service Self-serve laundry	Air conditioning Kitchenette Microwave Refrigerator	Non-smoking rooms Suites	HOTEL CLASS 5.0 of 5 stars HOTEL STYLE Luxury
473	Via Kennedy s.n.c., 89822, Spadola Italy	Hotel Valeria is an excellent choice for travelers visiting Spadola, offering many helpful amenities designed to enhance your stay. Rooms at Hotel Valeria provide a minibar and air conditioning, and guests can stay connected with free wifi. In addition, while staying at Hotel Valeria guests have access to a concierge, room service, and baggage storage. You can also enjoy free breakfast. Need a place to park? Free parking is available at Hotel Valeria. When you’re feeling hungry, be sure to check out Trattoria da Rosa, which is an Italian restaurant that is popular with locals and out-of-towners alike. Enjoy your stay in Spadola!	Excellent	4.5	12 reviews	Free parking Free High Speed Internet (WiFi) Free breakfast Board games / puzzles Books, DVDs, music for children Children Activities (Kid / Family Friendly) Pets Allowed ( Dog / Pet Friendly ) Airport transportation Wifi Bar / lounge Coffee shop Restaurant Breakfast available Breakfast in the room Kids' meals Special diet menus Business Center with Internet Access Conference facilities Banquet room Meeting rooms Baggage storage Concierge Shared lounge / TV area Dry cleaning	Air conditioning Room service Bottled water Minibar		HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Budget Family Languages Spoken English, Italian
474	Corso Vittorio Emanuele II 21 Pantheon, 00186 Rome Italy	Looking for a place to stay in Rome? Then look no further than Queen Palace Suites, a romantic bed and breakfast that brings the best of Rome to your doorstep. Queen Palace Suites offers guests an array of room amenities including air conditioning, a minibar, and a refrigerator, and getting online is possible, as free wifi is available. The bed and breakfast offers baggage storage, to make your visit even more pleasant. Palatine Hill (0.6 mi), located nearby, makes Queen Palace Suites a great place to stay for those interested in visiting this popular Rome landmark. Rome has plenty of French restaurants. So when you’re here, be sure to check out popular spots like Le Levain Roma, Crepes Galettes, and Valentyne, which are serving up some great dishes. Best of all, Queen Palace Suites makes it easy to experience many great Rome attractions like Colosseum, Villa Borghese, and Roman Forum, which are some popular historic sites. We’re sure you’ll enjoy your stay at Queen Palace Suites as you experience everything Rome has to offer.	Excellent	4.5	61 reviews	Free High Speed Internet (WiFi) Internet Breakfast in the room Children Activities (Kid / Family Friendly) Airport transportation Baggage storage Non-smoking hotel Laundry service Shuttle bus service Shared lounge / TV area	Soundproof rooms Air conditioning Desk Housekeeping Safe Coffee / tea maker Minibar Bath / shower Iron Refrigerator Complimentary toiletries Hair dryer	Non-smoking rooms Suites Family rooms	HOTEL CLASS 3.0 of 5 stars Languages Spoken English, French, Spanish, Filipino and 2 more
475	Carretera Manabao Km4, Jarabacoa 41000 Dominican Republic								HOTEL CLASS 3.0 of 5 stars
476	Via Bucay - Chillanes, Bucay 020202 Ecuador								
477	Wadi Rum Road, Aqaba 77110 Jordan								
478	2-20-9 Kawaragocho, Hitachi 316-0005 Ibaraki Prefecture								
479	Middle Street, Caye Caulker Belize	We stayed at Edith's three years ago. Molly y Victor were delightful and very accommodating. We met the most interesting international travelers and it was a delight to share the kitchen and travel tales. We plan to go back this year but flu stopped us in Feb and a minor accident now in April, we'll try again in July. Our last stay it was very clean, our bed could have used a new mattress but the warmth and of our hosts made the stay worthwhile. It was great to be able to fry a couple of eggs and make coffee and enjoy fresh pineapple for breakfast while still in my pjs.	Average	2.5	3 reviews				
480	No 213, South Yangbo Rd Taihuai Town, Wutai County 035512 China								
481	Avenida 3RA Calle Esquina 5TA Zona 2 Santa Elena, Flores 17029 Guatemala					Children Activities (Kid / Family Friendly)			
482	23 J C Road Signal Union 3rd Floor, Bank Building, Bengaluru 560002 India								HOTEL CLASS 2.0 of 5 stars
483	156 Jalan Merdeka Taman Melaka Raya, Melaka 75000 Malaysia	Have a break with the best value added promotion in the market to cater your accommodation and business needs! Looking for a convenient, comfortable, clean and affordable place to stay? Then Fenix Inn is your choice! Enjoy comfortable accommodation and get to know Melaka inside-out!	Very good	3.5	530 reviews	Free parking Free High Speed Internet (WiFi) Airport transportation Baggage storage Currency exchange 24-hour check-in 24-hour front desk Ironing service Valet parking Wifi Car hire Non-smoking hotel Shops ATM on site	Air conditioning Desk Housekeeping Safe Coffee / tea maker Flatscreen TV Bath / shower Hair dryer Telephone Bottled water Iron	Non-smoking rooms Family rooms	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Budget Quiet Languages Spoken English, Chinese, Indonesian, Malay
484	Calle Sangre 5 2, 46002, Valencia Spain	The Hostal Tartessos in the center of Valencia with comfortable and spacious, ideals for families and groups, all with private bath, TV, air conditioning and heating, free Wi-Fi.	Very good	4.0	93 reviews	Free High Speed Internet (WiFi) Wifi Pets Allowed ( Dog / Pet Friendly ) Concierge Non-smoking hotel	Air conditioning	Non-smoking rooms Family rooms	HOTEL CLASS 1.0 of 5 stars HOTEL STYLE Budget Centrally Located
485	1 Shuangyu Road, Mentougou District, Beijing 102300 China	If you’re looking for a hotel in Beijing, look no further than Jingxi Chenguang Hotel. Close to some of Beijing's most popular landmarks, such as Liuli Stove Site (2.7 mi) and Tianyi Mu (2.7 mi), Jingxi Chenguang Hotel is a great destination for tourists. Jingxi Chenguang Hotel features room service and baggage storage, to help make your stay more enjoyable. If you like steakhouses, Jingxi Chenguang Hotel is conveniently located near SiJi DaPan Shabu Yuan. The staff at Jingxi Chenguang Hotel looks forward to serving you during your upcoming visit.	Very good	3.5	16 reviews	Hot tub Bar / lounge Restaurant Children Activities (Kid / Family Friendly) Meeting rooms Baggage storage ATM on site Laundry service	Room service		
486	Put Vatrosl. Lisinskog 4, Vodice 22211 Croatia								
487	15 rue Elise Giroux, 79110, Chef-Boutonne France	Popped down to the region to start our house hunting. Woody, and Higgs, couldn't have been more helpful with their advice and knowledge of the area. The bedroom was spotless; bathroom too as was the whole house to be honest. Breakfast was enough to keep me going until lunch. Wifi was excellent throughout. The bed was very comfy; I had the room overlooking the garden, but this being a quiet street I think the front room would have been just as quiet. Overall, I felt very welcomed and very relaxed; a real home from home! Ideal location from which to explore the area and thoroughly recommended for short stays like mine, or longer ones	Excellent	5.0	1 review				
